date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:26	155/155	---M-Z	200	added ('OK')	text/plain	etag:%2213c-60c878d51c47c-gzip%22	https://headcorn.ae/robots.txt		(from )
18:54:26	660201/660201	---MCZ	200	added ('OK')	text/html	etag:%22a12e9-6241bd068c18a-gzip%22	https://headcorn.ae/	/home/owen/Documents/websites/HEADCORN/headcorn.ae/index.html	(from )
18:54:27	66774/66774	---M--	200	added ('OK')	image/jpeg	etag:%222e7cd6361032de5435acc3ada9735c93%22	https://static.tildacdn.one/tild3362-3230-4163-a536-613730636137/preview_01.jpg	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/tild3362-3230-4163-a536-613730636137/preview_01.jpg	(from https://headcorn.ae/)
18:54:27	2569/2569	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2233d87f311af2749b32497774bac82eec%22	https://static.tildacdn.one/tild6566-6438-4730-b438-616338393632/FAAAAVICOON.ico	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/tild6566-6438-4730-b438-616338393632/FAAAAVICOON.ico	(from https://headcorn.ae/)
18:54:27	51/51	---M--	200	added ('OK')	text/html	etag:%22605342c5-33%22	https://static.tildacdn.one/	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/index.html	(from https://headcorn.ae/)
18:54:28	146/146	---M--	403	error ('Forbidden')	text/html	date:Fri,%2024%20Jan%202025%2017:54:29%20GMT	https://ws.tildacdn.com/	/home/owen/Documents/websites/HEADCORN/ws.tildacdn.com/index.html	(from https://headcorn.ae/)
18:54:28	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225fd898fc230fd4a5dc38c419f1d8fc09%22	https://static.tildacdn.one/tild3661-3630-4533-a133-666364353236/favicon.ico	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/tild3661-3630-4533-a133-666364353236/favicon.ico	(from https://headcorn.ae/)
18:54:29	24802/24802	---M--	200	added ('OK')	image/png	etag:%22c7783bdfac34068b45e1e2aa2177dbf3%22	https://static.tildacdn.one/tild3262-6637-4633-a139-396332663463/favicon_apple.png	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/tild3262-6637-4633-a139-396332663463/favicon_apple.png	(from https://headcorn.ae/)
18:54:31	1918/1918	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f2bc2d-77e%22	https://neo.tildacdn.com/js/tilda-fallback-1.0.min.js	/home/owen/Documents/websites/HEADCORN/neo.tildacdn.com/js/tilda-fallback-1.0.min.js	(from https://headcorn.ae/)
18:54:31	4514/4514	---MCZ	200	added ('OK')	text/css	etag:W/%2263f4be99-11a2%22	https://static.tildacdn.one/css/tilda-grid-3.0.min.css	/home/owen/Documents/websites/HEADCORN/static.tildacdn.one/css/tilda-grid-3.0.min.css	(from https://headcorn.ae/)
